ax80000_opr5_t1150_n6_cap_3r: design stacking PR 5.091; bleed port after stage 3: frac_P 0.379, frac_work 0.497; turbine map coverage [(0.3, 1.13, 2.52), (0.4, 1.13, 2.58), (0.5, 1.12, 2.64), (0.6, 1.11, 2.69), (0.7, 1.1, 2.74), (0.8, 1.08, 2.79), (0.9, 1.05, 2.84), (1.0, 1.03, 2.9), (1.1, 1.0, 2.96)]
+  |  LS: AG 2 ; 1.39440282 0.5
+  |  LS: AG 1 ; 385.275826 1
+  |  LS: AG 2 ; 0.697872216 0.5
+  |  LS: AG 1 ; 202.232816 1
+  |  LS: AG 2 ; 0.34721454 0.5
+  |  LS: AG 1 ; 68.114953 1
+  |  LS: AG 2 ; 0.173847175 0.5
+  |  LS: AG 1 ; 18.9195142 1
+  |  LS: AG 2 ; 0.0869700608 0.5
+  |  LS: AG 1 ; 8.05300497 1
+  |  LS: AG 2 ; 0.0435166488 0.5
+  |  LS: AG 1 ; 1.62183408 1
+  |  LS: AG 2 ; 0.0217583513 0.5
+  |  LS: AG 1 ; 1.62183434 1
+  |  LS: AG 2 ; 0.0108830578 0.5
+  |  LS: AG 1 ; 496.363608 1
+  |  LS: AG 2 ; 1.38997371 0.5
+  |  LS: AG 1 ; 102.317056 1
+  |  LS: AG 2 ; 0.694986855 0.5
+  |  LS: AG 1 ; 102.317056 1
+  |  LS: AG 2 ; 0.346737341 0.5
+  |  LS: AG 1 ; 1147394.19 1
+  |  LS: AG 2 ; 1.44908872 0.5
+  |  LS: AG 1 ; 162222.255 1
+  |  LS: AG 2 ; 0.74074965 0.5
+  |  LS: AG 1 ; 29090.2995 1
+  |  LS: AG 2 ; 0.388396079 0.5
+  |  LS: AG 1 ; 5966.53031 1
+  |  LS: AG 2 ; 0.211419749 0.5
+  |  LS: AG 1 ; 1426.18128 1
+  |  LS: AG 2 ; 0.119249621 0.5
+  |  LS: AG 1 ; 399.793347 1
+  |  LS: AG 2 ; 0.069844905 0.5
+  |  LS: AG 1 ; 182.881382 1
+  |  LS: AG 2 ; 0.0409621491 0.5
+  |  LS: AG 1 ; 81.683052 1
+  |  LS: AG 2 ; 0.0230942082 0.5
+  |  LS: AG 1 ; 28.550524 1
+  |  LS: AG 2 ; 0.0122217033 0.5
+  |  LS: AG 1 ; 15.6344747 1
+  |  LS: AG 2 ; 0.00672597079 0.5
+  |  LS: AG 1 ; 5.69232373 1
+  |  LS: AG 2 ; 2.300179 0.5
+  |  LS: AG 1 ; 560.469029 1
+  |  LS: AG 2 ; 0.0057857674 0.5
+  |  LS: AG 1 ; 147.782235 1
+  |  LS: AG 2 ; 0.00289670354 0.5
+  |  LS: AG 1 ; 0.0141471885 1
+  |  LS: AG 2 ; 0.00144835177 0.5
+  |  LS: AG 1 ; 0.00446854557 1
+  |  LS: AG 2 ; 0.000724175886 0.5
+  |  LS: AG 1 ; 0.00127921869 1
+  |  LS: AG 2 ; 0.000362087943 0.5
+  |  LS: AG 1 ; 0.000344292226 1
+  |  LS: AG 2 ; 0.000181043972 0.5
+  |  LS: AG 1 ; 560.469029 1
+  |  LS: AG 2 ; 0.0057857674 0.5
+  |  LS: AG 1 ; 147.782235 1
+  |  LS: AG 2 ; 0.00289670354 0.5
+  |  LS: AG 1 ; 0.0141471885 1
+  |  LS: AG 2 ; 0.00144835177 0.5
+  |  LS: AG 1 ; 0.00446854557 1
+  |  LS: AG 2 ; 0.000724175886 0.5
+  |  LS: AG 1 ; 0.00127921869 1
+  |  LS: AG 2 ; 0.000362087943 0.5
+  |  LS: AG 1 ; 0.000344292226 1
+  |  LS: AG 2 ; 0.000181043972 0.5
+  |  LS: AG 1 ; 20.9018446 1
+  |  LS: AG 2 ; 0.0542079218 0.5
+  |  LS: AG 1 ; 20.2523453 1
+  |  LS: AG 2 ; 0.0270795196 0.5
+  |  LS: AG 1 ; 3.45010884 1
+  |  LS: AG 2 ; 0.054763197 0.5
+  |  LS: AG 1 ; 0.00378088492 1
+  |  LS: AG 2 ; 0.000949473058 0.5
+  |  LS: AG 1 ; 0.00106282606 1
+  |  LS: AG 2 ; 0.000474736529 0.5
+  |  LS: AG 1 ; 0.00378088492 1
+  |  LS: AG 2 ; 0.000949473058 0.5
+  |  LS: AG 1 ; 0.00106282606 1
+  |  LS: AG 2 ; 0.000474736529 0.5
+  |  LS: AG 1 ; 518954.629 1
+  |  LS: AG 2 ; 0.0643085754 0.5
+  |  LS: AG 1 ; 43086.2772 1
+  |  LS: AG 2 ; 0.0294347357 0.5
+  |  LS: AG 1 ; 5897.35375 1
+  |  LS: AG 2 ; 0.0141666706 0.5
+  |  LS: AG 1 ; 1003.8569 1
+  |  LS: AG 2 ; 0.00700039226 0.5
+  |  LS: AG 1 ; 431.557717 1
+  |  LS: AG 2 ; 0.00343202682 0.5
+  |  LS: AG 1 ; 99.5212861 1
+  |  LS: AG 2 ; 0.0017099241 0.5
+  |  LS: AG 1 ; 309692.331 1
+  |  LS: AG 2 ; 3.97797796 0.5
+  |  LS: AG 1 ; 58952.9985 1
+  |  LS: AG 2 ; 2.05004169 0.5
+  |  LS: AG 1 ; 14223.1366 1
+  |  LS: AG 2 ; 1.03780503 0.5
+  |  LS: AG 1 ; 3626.78764 1
+  |  LS: AG 2 ; 0.521862293 0.5
+  |  LS: AG 1 ; 920.877073 1
+  |  LS: AG 2 ; 0.261609299 0.5
+  |  LS: AG 1 ; 406.480008 1
+  |  LS: AG 2 ; 0.131329547 0.5
+  |  LS: AG 1 ; 96.1846967 1
+  |  LS: AG 2 ; 0.0656846107 0.5
+  |  LS: AG 1 ; 309692.331 1
+  |  LS: AG 2 ; 3.97797796 0.5
+  |  LS: AG 1 ; 58952.9985 1
+  |  LS: AG 2 ; 2.05004169 0.5
+  |  LS: AG 1 ; 14223.1366 1
+  |  LS: AG 2 ; 1.03780503 0.5
+  |  LS: AG 1 ; 3626.78764 1
+  |  LS: AG 2 ; 0.521862293 0.5
+  |  LS: AG 1 ; 920.877073 1
+  |  LS: AG 2 ; 0.261609299 0.5
+  |  LS: AG 1 ; 406.480008 1
+  |  LS: AG 2 ; 0.131329547 0.5
+  |  LS: AG 1 ; 96.1846967 1
+  |  LS: AG 2 ; 0.0656846107 0.5
+  |  LS: AG 1 ; 233352.026 1
+  |  LS: AG 2 ; 3.97383378 0.5
+  |  LS: AG 1 ; 53881.2013 1
+  |  LS: AG 2 ; 2.041714 0.5
+  |  LS: AG 1 ; 14204.5702 1
+  |  LS: AG 2 ; 1.034201 0.5
+  |  LS: AG 1 ; 3713.00844 1
+  |  LS: AG 2 ; 0.520339427 0.5
+  |  LS: AG 1 ; 961.830951 1
+  |  LS: AG 2 ; 0.260919858 0.5
+  |  LS: AG 1 ; 431.106673 1
+  |  LS: AG 2 ; 0.131046153 0.5
+  |  LS: AG 1 ; 106.684375 1
+  |  LS: AG 2 ; 0.0655843332 0.5
+  |  LS: AG 1 ; 309692.331 1
+  |  LS: AG 2 ; 3.97797796 0.5
+  |  LS: AG 1 ; 58952.9985 1
+  |  LS: AG 2 ; 2.05004169 0.5
+  |  LS: AG 1 ; 14223.1366 1
+  |  LS: AG 2 ; 1.03780503 0.5
+  |  LS: AG 1 ; 3626.78764 1
+  |  LS: AG 2 ; 0.521862293 0.5
+  |  LS: AG 1 ; 920.877073 1
+  |  LS: AG 2 ; 0.261609299 0.5
+  |  LS: AG 1 ; 406.480008 1
+  |  LS: AG 2 ; 0.131329547 0.5
+  |  LS: AG 1 ; 96.1846967 1
+  |  LS: AG 2 ; 0.0656846107 0.5
+  |  LS: AG 1 ; 299151.8 1
+  |  LS: AG 2 ; 4.74563368 0.5
+  |  LS: AG 1 ; 60870.0347 1
+  |  LS: AG 2 ; 2.42694432 0.5
+  |  LS: AG 1 ; 18576.5215 1
+  |  LS: AG 2 ; 1.23151314 0.5
+  |  LS: AG 1 ; 4736.32622 1
+  |  LS: AG 2 ; 0.619811594 0.5
+  |  LS: AG 1 ; 1468.1137 1
+  |  LS: AG 2 ; 0.311426933 0.5
+  |  LS: AG 1 ; 278.129561 1
+  |  LS: AG 2 ; 0.155885571 0.5
+  |  LS: AG 1 ; 16.0304531 1
+  |  LS: AG 2 ; 0.0779331396 0.5
+  |  LS: AG 1 ; 15.9840241 1
+  |  LS: AG 2 ; 0.0389641602 0.5
+  |  LS: AG 1 ; 15.9724274 1
+  |  LS: AG 2 ; 0.0194814779 0.5
+  |  LS: AG 1 ; 15.9695296 1
+  |  LS: AG 2 ; 0.00974934841 0.5
+  |  LS: AG 1 ; 543.997886 1
+  |  LS: AG 2 ; 0.0850429711 0.5
+  |  LS: AG 1 ; 1126.51561 1
+  |  LS: AG 2 ; 0.0501934527 0.5
+  |  LS: AG 1 ; 810.954261 1
+  |  LS: AG 2 ; 0.0262271558 0.5
+  |  LS: AG 1 ; 530.940928 1
+  |  LS: AG 2 ; 0.0140978208 0.5
+  |  LS: AG 1 ; 272.21778 1
+  |  LS: AG 2 ; 0.00754052879 0.5
