rpm,N,ht,Cx,eta,ok,D,L,DF,dH,M,h
50000,5,0.55,170,0.8210191276753158,False,111.89595683728302,122.33478938639556,0.6734927537746841,0.629163722704309,0.937686915815139,8.691770621538627
50000,5,0.55,185,0.8140716345056641,False,108.64748383796208,118.26693263870213,0.639049953998012,0.6592418893812976,0.9590285151019415,8.381032782717138
50000,5,0.55,200,0.8106008760995898,False,105.94453903795913,114.7338553472014,0.5925680186130791,0.6873639637965365,0.9837532736172903,8.096453900666031
50000,6,0.3,150,0.8436396279225518,False,103.42148505498112,207.96683318698695,0.6482741165162578,0.6261397408232355,0.8985447137447506,12.207362479934773
50000,6,0.3,170,0.8390554856497324,False,98.80876752966675,197.5935116384817,0.5719929307181524,0.6746345362837296,0.9193570031539252,11.54394553740691
50000,6,0.3,185,0.834061398306061,False,96.03224751817498,191.27603875999003,0.5233089019016642,0.7055625314456494,0.9409031456805147,11.133033319735329
50000,6,0.3,200,0.8280427328193626,True,93.72872800937168,185.94902991844478,0.4809406769247141,0.7324162935311366,0.9667701622927356,10.779911753772819
50000,6,0.35,150,0.8383462801578533,False,105.15999781633451,196.6260692342274,0.6688737339481758,0.6216966943640673,0.8944756555316091,11.565278795655637
50000,6,0.35,170,0.8344191253328532,False,100.43138052970514,186.64356268932798,0.5916439693755291,0.669956272433497,0.9149690514350867,10.925492089683548
50000,6,0.35,185,0.8298404848333519,False,97.58228574850882,180.56712404231013,0.5419851875076143,0.7009885029975581,0.9363576168365414,10.530381942154484
50000,6,0.35,200,0.8241753029020685,True,95.21587580687029,175.43886494918033,0.49856636880006333,0.7280764597959074,0.9620925813523502,10.190931493681763
50000,6,0.4,150,0.831787211691533,False,107.33395354383379,185.6463501476303,0.6891208124384115,0.6186252527333669,0.8914628405331854,10.943523259879045
50000,6,0.4,170,0.8285776824801726,False,102.47253614567956,176.06561598356996,0.6114055434433843,0.6661771870513552,0.9115697555151563,10.32858883211156
50000,6,0.4,185,0.8244425125922128,False,99.54102402121671,170.23151916717444,0.5609879620795029,0.6970913448967044,0.9327247502966214,9.94907581365649
50000,6,0.4,200,0.8191731063398024,False,97.10413679418194,165.31251550623827,0.5166844058849038,0.7242137968772033,0.9583085008313785,9.624216330945664
50000,6,0.45,150,0.8307056356919365,False,110.01688000197313,174.71435228429633,0.6833562216181528,0.6187322847751147,0.888373090978398,10.302096311905096
