MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,SMN,binding,conv,Fn_at_100pct,T4_at_100pct
0.7,4000.0,456.36965421761334,0.020648997950194276,1.165440232833518,1149.7357095355153,99.84984222301439,0.24008846476168788,T4,True,460.09296290049906,1153.3100159491335
0.8,4000.0,472.60610307398673,0.021729000009620244,1.2391729049395088,1149.503233268199,99.68872262738844,0.25657483640080847,T4,True,481.10307687750543,1158.2603246625013
0.9,4000.0,500.47542319899713,0.023143289424762077,1.3369738018300752,1150.167669909956,99.89325610208788,0.27406825964340986,T4,True,503.56909950774235,1152.997568890788
0.95,4000.0,510.74892410082464,0.023795303479334905,1.3837455933694485,1149.9926119314464,99.7532823234238,0.27882061328190844,T4,True,517.4231251662477,1156.0392116907021
1.0,4000.0,520.4695980606425,0.024456333989460104,1.4317643276055243,1150.0640484529538,99.67900252523616,0.27649972219864605,T4,True,529.4764312459919,1158.249806068985
1.02,4000.0,525.9840987044862,0.02477343773320278,1.453818645982517,1150.4097157164426,99.6934236407392,0.27578816475375745,T4,True,533.8639725130478,1156.075381073229
1.05,4000.0,541.8535327779836,0.02542331693134477,1.5014187212011054,1150.0417423530375,100.0,0.279648864999841,N,True,541.8535327779836,1150.0417423530375
0.0,5000.0,457.5312553139633,0.015508125765480598,0.8472142282690046,1141.4608561853145,100.0,,N,True,457.5312553139633,1141.4608561853145
0.3,5000.0,408.4938583245753,0.016113699723808373,0.8839227190906358,1142.8939427601451,100.0,,N,True,408.4938583245753,1142.8939427601451
0.5,5000.0,406.4731376754326,0.0172377396516657,0.9458710424651808,1150.2747691660811,99.64096956105446,,T4,True,413.28736104525257,1156.3898647189255
0.7,5000.0,424.31294553069955,0.01878498217511216,1.048401027906631,1150.1128986763183,99.61245410066434,0.22504493631341105,T4,True,432.9573384127176,1159.6490000105073
0.8,5000.0,445.18027679726833,0.019895008960140508,1.122963161483177,1150.203784657305,99.85212775034553,0.24089076265541065,T4,True,448.4047819012928,1152.9518083075322
0.9,5000.0,466.8439960761081,0.02109208890675117,1.2052615425561928,1149.7847292905426,99.8681789911179,0.2594579822795531,T4,True,470.28935997908394,1153.4067505540372
0.95,5000.0,474.44681603125923,0.021644731821718156,1.2441071979242162,1149.9711908368902,99.54455525492536,0.26816905544477443,T4,True,486.4642836859977,1161.6612823949804
1.0,5000.0,489.95994657586226,0.022390626394182527,1.2979779458241183,1149.70326546927,99.74623279033308,0.27814895919528704,T4,True,496.5015718760665,1155.1275010003274
