MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,binding,Fn_Nmode,Fn_T4mode,conv_N,conv_T4,maps
0.8,2500.0,538.315355567339,0.02578418518839299,1.4420113840538462,1172.7684660334082,100.0,N,538.315355567339,54912348393.91511,True,False,PLACEHOLDER scaled NPSS maps
0.9,2500.0,523.3998056865771,0.025370308328134427,1.5362402772936816,1130.6470499275983,100.0,N,523.3998056865771,94706167379.48679,True,False,PLACEHOLDER scaled NPSS maps
0.95,2500.0,518.2484317747775,0.02537554211964046,1.5845994012923106,1116.144993233888,100.0,N,518.2484317747775,74794702844.66505,True,False,PLACEHOLDER scaled NPSS maps
1.0,2500.0,513.6464064328472,0.02536434204712695,1.6384566786315133,1100.3023921210665,100.0,N,513.6464064328472,118221072322.32088,True,False,PLACEHOLDER scaled NPSS maps
1.02,2500.0,515.6102938248055,0.02552197213099286,1.6630201815368266,1097.099765828846,100.0,N,515.6102938248055,88096794881.3294,True,False,PLACEHOLDER scaled NPSS maps
1.05,2500.0,516.32956951486,0.02568043932860096,1.6998991465427364,1091.0593463257367,100.0,N,516.32956951486,133672978928.54712,True,False,PLACEHOLDER scaled NPSS maps
0.0,4000.0,439.97975558369495,0.015756209820996323,0.8841589521345623,1126.9269853704805,100.0,N,439.97975558369495,22661500849.927395,True,False,PLACEHOLDER scaled NPSS maps
0.3,4000.0,389.3039092208945,0.01638469153555035,0.9298011383338185,1125.0863431072053,100.0,N,389.3039092208945,18209877078.464893,True,False,PLACEHOLDER scaled NPSS maps
0.6,4000.0,418.97761435661863,0.019068144498293426,1.0753560667687632,1143.2588129745286,100.0,N,418.97761435661863,36915437879.21263,True,False,PLACEHOLDER scaled NPSS maps
0.7,4000.0,431.8857966883521,0.019859393109050102,1.1440436118305743,1136.375613731417,100.0,N,431.8857966883521,30884518953.424683,True,False,PLACEHOLDER scaled NPSS maps
0.8,4000.0,464.07500013280065,0.021489946854992146,1.2301635747479178,1147.1743001239875,100.0,N,464.07500013280065,52794375690.46848,True,False,PLACEHOLDER scaled NPSS maps
0.9,4000.0,497.9447645396156,0.02308234924265915,1.3343313605236402,1149.7917777187047,100.0,N,497.9447645396156,46376990938.98632,True,False,PLACEHOLDER scaled NPSS maps
0.95,4000.0,520.7527545258722,0.024236086103554745,1.3893855707028622,1159.3260787869385,100.0,N,520.7527545258722,73078838831.5176,True,False,PLACEHOLDER scaled NPSS maps
1.0,4000.0,516.6738668614663,0.02426808661835815,1.432188899222095,1144.9932486315029,100.0,N,516.6738668614663,57702202202.23476,True,False,PLACEHOLDER scaled NPSS maps
1.02,4000.0,515.1786206930884,0.024272061983493978,1.4509255843575435,1138.697200519769,100.0,N,515.1786206930884,85121900901.01128,True,False,PLACEHOLDER scaled NPSS maps
