S_wing,alt_m,MN,E_case,CDS_m2,wave_m2,E_WD,E_geom,k,CLa,CD0
0.2,0.0,0.4,nom,0.005361421311408812,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.6835672348112802,0.026807106557044057
0.2,0.0,0.4,lo,0.005361421311408812,0.0,1.4,1.8563466408126414,0.14370182170072113,2.6835672348112802,0.026807106557044057
0.2,0.0,0.4,hi,0.005361421311408812,0.0,3.0,1.8563466408126414,0.14370182170072113,2.6835672348112802,0.026807106557044057
0.2,0.0,0.6,nom,0.005031707347194785,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.767455432708234,0.025158536735973923
0.2,0.0,0.6,lo,0.005031707347194785,0.0,1.4,1.8563466408126414,0.14370182170072113,2.767455432708234,0.025158536735973923
0.2,0.0,0.6,hi,0.005031707347194785,0.0,3.0,1.8563466408126414,0.14370182170072113,2.767455432708234,0.025158536735973923
0.2,0.0,0.7,nom,0.004892513024057033,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.827078406349009,0.024462565120285162
0.2,0.0,0.7,lo,0.004892513024057033,0.0,1.4,1.8563466408126414,0.14370182170072113,2.827078406349009,0.024462565120285162
0.2,0.0,0.7,hi,0.004892513024057033,0.0,3.0,1.8563466408126414,0.14370182170072113,2.827078406349009,0.024462565120285162
0.2,0.0,0.8,nom,0.0047623686735585894,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.9017147294469035,0.023811843367792945
0.2,0.0,0.8,lo,0.0047623686735585894,0.0,1.4,1.8563466408126414,0.14370182170072113,2.9017147294469035,0.023811843367792945
0.2,0.0,0.8,hi,0.0047623686735585894,0.0,3.0,1.8563466408126414,0.14370182170072113,2.9017147294469035,0.023811843367792945
0.2,0.0,0.85,nom,0.0047000934196047665,2.8059295919857722e-15,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.9457925622713135,0.023500467098023833
0.2,0.0,0.85,lo,0.004700093419604077,2.116146490323818e-15,1.4,1.8563466408126414,0.14370182170072113,2.9457925622713135,0.023500467098020384
0.2,0.0,0.85,hi,0.004700093419606495,4.534599622122468e-15,3.0,1.8563466408126414,0.14370182170072113,2.9457925622713135,0.023500467098032475
0.2,0.0,0.9,nom,0.004640420576137384,5.026376301623358e-07,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.9951837232251326,0.023202102880686918
0.2,0.0,0.9,lo,0.004640297012472587,3.790739653663061e-07,1.4,1.8563466408126414,0.14370182170072113,2.9951837232251326,0.023201485062362935
0.2,0.0,0.9,hi,0.004640730239861578,8.123013543563703e-07,3.0,1.8563466408126414,0.14370182170072113,2.9951837232251326,0.02320365119930789
0.2,0.0,0.95,nom,0.004590178475402348,7.904070197212771e-06,1.8563466408126414,1.8563466408126414,0.327796419161485,3.0506739596425,0.02295089237701174
0.2,0.0,0.95,lo,0.004588235413797395,5.961008592260396e-06,1.4,1.8563466408126414,0.327796419161485,3.0506739596425,0.022941177068986976
0.2,0.0,0.95,hi,0.004595047995045693,1.2773589840557993e-05,3.0,1.8563466408126414,0.327796419161485,3.0506739596425,0.022975239975228465
0.2,0.0,0.98,nom,0.005017302520338454,0.00046848713195423504,1.8563466408126414,1.8563466408126414,0.3239080871342772,3.087295562291554,0.02508651260169227
0.2,0.0,0.98,lo,0.004902134089921992,0.0003533187015377729,1.4,1.8563466408126414,0.3239080871342772,3.087295562291554,0.024510670449609962
0.2,0.0,0.98,hi,0.005305926891679447,0.0007571115032952277,3.0,1.8563466408126414,0.3239080871342772,3.087295562291554,0.026529634458397233
0.2,0.0,1.0,nom,0.005921186893578255,0.001394424213097359,1.8563466408126414,1.8563466408126414,0.32257584717113225,3.100046109371239,0.029605934467891275
0.2,0.0,1.0,lo,0.00557839487859326,0.0010516321981123647,1.4,1.8563466408126414,0.32257584717113225,3.100046109371239,0.0278919743929663
0.2,0.0,1.0,hi,0.006780260247864534,0.002253497567383639,3.0,1.8563466408126414,0.32257584717113225,3.100046109371239,0.03390130123932267
0.2,0.0,1.02,nom,0.007010445339110802,0.0025057232586473384,1.8563466408126414,1.8563466408126414,0.32257584717113225,3.100046109371239,0.03505222669555401
0.2,0.0,1.02,lo,0.0063944621133759545,0.001889740032912491,1.4,1.8563466408126414,0.32257584717113225,3.100046109371239,0.03197231056687977
0.2,0.0,1.02,hi,0.008554165008133087,0.004049442927669624,3.0,1.8563466408126414,0.32257584717113225,3.100046109371239,0.042770825040665435
