A_over_r2,liner_factor,span_mm,shaft_od_mm,id_ratio,journal_mm,DN_MCS,bend1_undamped_rpm,bend1_over_MCS,damped_crits,api_ok,m_rotor,Ip,imp_mass,imp_disc_vm_MCS,imp_burst_MCS
0.1,0.85,216.39369092560244,28.0,0.8,12.0,945000.0,85388.52625015013,1.0842987460336524,"[(9644, 2.14), (14606, 1.26), (85391, 104.66)]",False,1.9031666631769788,0.001965116315043339,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,28.0,0.8,15.0,1181250.0,87994.25566479596,1.1173873735212185,"[(9710, 2.03), (14517, 1.25), (88014, 102.83)]",False,1.917418128520372,0.001965938001092044,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,32.0,0.5,12.0,945000.0,80946.16779435816,1.0278878450077227,"[(9212, 2.18), (12781, 1.46), (80943, 82.88)]",False,2.5238091202137922,0.0020641594686528148,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,32.0,0.5,15.0,1181250.0,85117.11797390487,1.0808522917321253,"[(9265, 2.08), (12728, 1.46), (85073, 89.72)]",False,2.538060585557185,0.00206498115470152,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,32.0,0.8,12.0,945000.0,93381.84169171432,1.1858011643392294,"[(9577, 2.13), (14211, 1.29), (93415, 113.35)]",False,2.013557614033329,0.0020060316170687365,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,32.0,0.8,15.0,1181250.0,96682.09161186623,1.2277090998332219,"[(9640, 2.03), (14133, 1.29), (96670, 125.88)]",False,2.027809079376722,0.0020068533031174416,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.7,184.00681373870756,24.0,0.5,12.0,945000.0,87147.30503542273,1.1066324448942568,"[(9406, 2.19), (14157, 1.31), (87178, 97.37)]",False,2.008495686075174,0.001949099075741853,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.7,184.00681373870756,24.0,0.5,15.0,1181250.0,90301.64790803495,1.1466875924829836,"[(9465, 2.09), (14084, 1.3), (90302, 100.9)]",False,2.0227011604471015,0.0019499181101236096,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.7,184.00681373870756,24.0,0.8,12.0,945000.0,104723.29884836024,1.3298196679156855,"[(9544, 2.2), (15113, 1.23), (104750, 75.65)]",True,1.7661646495487262,0.001933570502921238,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.7,184.00681373870756,24.0,0.8,15.0,1181250.0,111364.53673373011,1.4141528474124458,"[(9608, 2.09), (15013, 1.21), (111373, 72.6)]",True,1.7803701239206533,0.0019343895373029945,1.0922192439059497,382.2354218270377,1.8739228847448157
