layout,k,t_drum_mm,shaft_od_mm,journal_od_mm,crits_rpm,bearing_energy,rigid_rpm,first_bending_rpm,rigid_ok,bending_ok,ok,m_rotor_kg,Ip_kgm2,R_front_N_1g,R_rear_N_1g,span_m,gyro_bearing_load_N_per_radps
A,1750000.0,2.0,32.0,16.0,"[10284, 17822, 53452, 143353]","[np.float64(0.94), np.float64(0.8), np.float64(0.2), np.float64(0.03)]","[10284, 17822]",53451.727431957384,True,False,False,2.3762036684868413,0.001232802546849477,7.422952215417727,15.887605772438189,0.40897010842267867,25.253440905963522
A,1750000.0,3.0,16.0,16.0,"[9829, 14146, 31906, 86220]","[np.float64(0.36), np.float64(0.85), np.float64(0.71), np.float64(0.03)]","[14146, 31906]",9829.079815132034,False,False,False,1.7098729107808737,0.0011600526105642207,6.280896643517883,10.492956611242489,0.40897010842267867,23.763189104012422
A,1750000.0,3.0,20.0,16.0,"[11085, 15284, 35196, 106165]","[np.float64(0.71), np.float64(0.71), np.float64(0.51), np.float64(0.02)]","[11085, 15284, 35196]",106164.80056330246,False,True,False,1.8517151226947006,0.0011751709681726485,6.624494290999447,11.540831062635569,0.40897010842267867,24.072882291648476
A,1750000.0,3.0,24.0,16.0,"[11064, 16407, 40151, 124228]","[np.float64(0.86), np.float64(0.74), np.float64(0.34), np.float64(0.02)]","[11064, 16407]",40151.19016068553,True,False,False,2.0336138050419446,0.0012029105172306031,7.091970526656519,12.85778090080496,0.40897010842267867,24.641115269981757
A,1750000.0,3.0,28.0,16.0,"[10676, 17014, 46318, 139241]","[np.float64(0.92), np.float64(0.8), np.float64(0.23), np.float64(0.02)]","[10676, 17014]",46317.665385068445,True,False,False,2.248584975088688,0.0012485918908655361,7.644442441523966,14.41417616409606,0.40897010842267867,25.576878967535077
A,1750000.0,3.0,32.0,16.0,"[10187, 17249, 52981, 150722]","[np.float64(0.94), np.float64(0.84), np.float64(0.17), np.float64(0.02)]","[10187, 17249]",52980.52749968588,True,False,False,2.4966286328349296,0.0013186642241788495,8.281910035601797,16.210016852508865,0.40897010842267867,27.012281200433616
A,19000000.0,0.3212660060006173,16.0,16.0,"[11945, 39945, 57037, 99792]","[np.float64(0.02), np.float64(0.76), np.float64(0.18), np.float64(0.2)]",[39945],11944.82464233974,False,False,False,1.3872864650554857,0.000930772432104593,3.979977131179206,9.629303091015109,0.40897010842267867,19.066481222903594
A,19000000.0,0.3212660060006173,20.0,16.0,"[14738, 41381, 58820, 110189]","[np.float64(0.04), np.float64(0.86), np.float64(0.13), np.float64(0.2)]",[41381],14737.575867827753,False,False,False,1.5291286769693129,0.0009458907897130208,4.32357477866077,10.677177542408188,0.40897010842267867,19.376174410539647
A,19000000.0,0.3212660060006173,24.0,16.0,"[16298, 41189, 62734, 117188]","[np.float64(0.06), np.float64(0.88), np.float64(0.12), np.float64(0.22)]",[41189],16298.4180051259,False,False,False,1.7110273593165566,0.0009736303387709755,4.791051014317842,11.994127380577579,0.40897010842267867,19.944407388872925
A,19000000.0,0.3212660060006173,28.0,16.0,"[16856, 40331, 67637, 122319]","[np.float64(0.08), np.float64(0.88), np.float64(0.13), np.float64(0.23)]",[40331],16855.94651944707,False,False,False,1.9259985293633002,0.0010193117124059085,5.343522929185298,13.550522643868678,0.40897010842267867,20.88017108642625
