rpm,N,hub_tip,Cx,feasible,eta_is_tool,DF,deHaller,M_rel_tip,h_last,r_tip_mm,length_mm,D_casing_mm,n_blades
75000,7,0.55,170,True,0.8018331050074867,0.38780191605078457,0.7498178138861413,1.2221668869239795,0.010641119623060372,61.43641303882728,207.57709775328325,128.37282607765457,485
75000,7,0.55,185,True,0.8024842842313764,0.3777433245705432,0.761352025822068,1.218231400500823,0.010169623109761203,59.45610464213168,199.0719902546734,124.41220928426335,487
75000,7,0.55,200,False,0.8000529139881588,0.36525200475338243,0.7742015589469213,1.2220992847948962,0.009760132843756306,57.81351776277573,191.89059530782356,121.12703552555148,495
75000,8,0.4,170,True,0.8262478875179041,0.41935590373407705,0.739716219597916,1.1865153526543342,0.012541162843717285,55.68664099670774,278.2942562855757,116.87328199341549,387
75000,8,0.4,185,True,0.8225061709397965,0.40300726107475704,0.7564653357329777,1.1849827076865787,0.012003402892139178,53.908161647881855,267.4474855866444,113.31632329576371,389
75000,8,0.4,200,True,0.8166361532605048,0.38528388660713386,0.7734401326383153,1.1907826528299619,0.01153373933273738,52.431474200082626,258.2230502757084,110.36294840016525,396
75000,8,0.45,170,True,0.8163269574134895,0.39620614612935673,0.7507119072720592,1.1913511049098602,0.011872332700415558,57.27718490043035,264.1394011572954,120.05436980086071,433
75000,8,0.45,185,True,0.8138046049042481,0.38223139036379034,0.7653942507935716,1.1891421458237628,0.0113581745748981,55.441710112477026,253.6882659298677,116.38342022495405,437
75000,8,0.45,200,True,0.8088151313278016,0.366552885050641,0.7806684409975476,1.1944130305853828,0.010909805987189436,53.91819045136076,244.81748663655154,113.33638090272153,446
75000,8,0.5,170,True,0.8031603415268477,0.3717331066603867,0.7630211864938722,1.1999208790911098,0.011215793232163429,59.202503444916175,250.341043258273,123.90500688983236,488
75000,8,0.5,185,True,0.8022154686293156,0.3601904212074498,0.7755575935094613,1.1967970766862197,0.010724431268629417,57.29883090229035,240.26183209695427,120.0976618045807,495
